date,id,content,username,like_count,retweet_count
2023-03-29 22:56:30+00:00,1641212765355352064,"@ThatOuternaut HEY CHAT GPT I DON'T GOT TIME FOR THIS BOZO!!! CAN YOU THINK OF SOMETHING

""Certainly! Thinking.....

I was able to locate this user's medical records and discovered he recently saw his doctor about his 'small peepee disorder'. Maybe try that?""

OHHHHH SHIT!!!! OHHHHH BTFO!!!!",puppetsucks,2,0
2023-03-29 22:55:26+00:00,1641212499537305600,"#GenerativeAI  such as #ChatGPT could replace 300 MILLION #workers – #GoldmanSachs.

2/3 of #Westerm #Jobs are vulnerable to some degree of #ArtificialIntelligence #AI #automation.
https://t.co/PxqGBEoX7T",StevenS23337721,0,0
2023-03-29 22:55:22+00:00,1641212479517671427,@rasbt Reading it right now love the fact that you put references to articles. And walking though the code section with chat gpt made it so much easier. Thank you for your awesome work!,doomer_says,0,0
2023-03-29 22:55:03+00:00,1641212400367181825,"The oracle is a program created by the machines, she has the ability to predict the future - she is instrumental in helping Neo to understand his destiny as the one (the prophesied individual who can defeat the Matrix and liberate humanity)  #bcm325 #chatGPT https://t.co/RsuYDkS32s",ethanbeard91,0,0
2023-03-29 22:54:46+00:00,1641212328900284418,"You know what a good feature be in ChatGPT @OpenAI? Sharing a link to a conversation, making it public.

Use-case is having a conversation with ChatGPT and wanting to share the result with a teammate without having to worry about formatting while copying &amp; pasting. #AI #ChatGPT",a_hafez12,1,0
2023-03-29 22:54:16+00:00,1641212202593193984,"#BCM325 I asked #ChatGPT how The Matrix (1999) uses operational research. In short, the machines use algorithms, data analysis, and other techniques to control the simulated reality, with the use of AI agents consistently monitoring to keep society in check. 1/3",andreamrra,0,0
2023-03-29 22:54:14+00:00,1641212198180511745,"Though it primarily targets companies like Tik-Tok, the bill's language is much too broad, according to the crypto advocacy group. #BTC #Bitcoin #CryptoNews #cryptomarket #ChatGPT #openai Sentiment Result : Negative @crypto_talkies https://t.co/C756R9j244",crypto_talkies,0,0
2023-03-29 22:53:58+00:00,1641212130757337088,"By harnessing the power of technology, we can tell richer, more compelling stories that reflect the full range of human experiences. #AI  #MachineLearning #ChatGPT",Astrificabo,0,0
2023-03-29 22:53:47+00:00,1641212081780260864,The future is in the integrations. It won't be long before #ChatGPT will be hosted in a primate's #neuralink chip.,StillHerein2023,0,0
2023-03-29 22:53:43+00:00,1641212064705449985,@techAU @elonmusk @TheChiefNerd Walt Disney tried to warn us... #ChatGPT #AGI https://t.co/CE7wqOBv7Y,SpiderMonkeyXYZ,0,0
2023-03-29 22:53:17+00:00,1641211957201055748,@sama Not able to signup in chat GPT. Tried many times,kksunil53,0,0
2023-03-29 22:53:08+00:00,1641211919532015622,"Teaching self-management skills?
Check out our short tutorial on using #chatgpt as a scheduling rough-draft tool:

https://t.co/3nJqV2aWPL https://t.co/l5sVskSu6L",ShiftingSchools,0,0
2023-03-29 22:53:01+00:00,1641211891484708865,"Can anyone name what's wrong with this pic? 

Comment below for $5 prize, if you get it right. 

#MentalHealthAwareness #BodyPositivity #Model #AmateurGirl #ContestAlert #Contest #Compete #Winner #ArtificialIntelligence #OpenAI #ChatGPT #Midjourneyv5 #FoodieBeauty #Foodie #Food https://t.co/JBaZmdO3un",HottiesBite,1,1
2023-03-29 22:53:00+00:00,1641211884736061440,"Looking for new ways to improve your tweets? 
My #ChatGPT Basics Course offers a databank of prompts to help you create tweets that resonate with your followers. Buy now at https://t.co/eDmJ0euBW0 #promptcraft #copywriting",0xPromptcraft,0,0
2023-03-29 22:52:32+00:00,1641211766725312512,"Is ChatGPT moving too fast? 
#chatgpt #chatgpt4 https://t.co/8ZS9ZZuB0Q",Dr_liz_X,0,0
2023-03-29 22:52:12+00:00,1641211682516004864,"I made a cool app using ChatGPT today. 

My little app won’t change the world, but this technology is the next major evolution in our daily lives. 

Will post a short thread about it later. #AI #ChatGPT",jak_vault,0,0
2023-03-29 22:52:08+00:00,1641211666762178561,ChatGPT: Why we're still smarter than machines https://t.co/irE1hrN8N5 via @BBC_Reel #ChatGPT #AI,roxana_huaman,0,0
2023-03-29 22:52:05+00:00,1641211654703845376,"ChatGPT 4 playing Zork. Unclear if it is scraping walkthroughs or actually playing the game. Either way, it is impressive to watch. #ChatGPT https://t.co/vpHMRErDy4",stuartcarnie,0,0
2023-03-29 22:51:56+00:00,1641211619018526721,"Run a Gpt 4 chat-based chatbot in your laptop
https://t.co/pywPHlvfeg",BadrBellaj,0,0
2023-03-29 22:51:41+00:00,1641211554476576770,"@elonmusk @TheChiefNerd Policymakers are the worst people to develop safety protocols,  6 months is too long. And pausing doesn't achieve any result. #ai #chatgpt",iamhilarry3090,1,0
2023-03-29 22:51:26+00:00,1641211491905941505,&lt;script&gt;alert('XSS')&lt;/script&gt; by #chatgpt.,CB4KKER,0,0
2023-03-29 22:50:57+00:00,1641211369717485569,@lolia210 Im assuming that one is for copy? I want to use chat gpt for school work though,Bimbochan,0,0
2023-03-29 22:50:30+00:00,1641211257318457344,"So ChatGPT and I did a lot of work tonight. We designed a multi-agent communication protocol and GPT wrote a formal spec of it, including some EBNF syntax rules. Great job, #ChatGPT! @OpenAI @sama https://t.co/HglDE7RgM8",OndrejTucny,1,0
2023-03-29 22:50:29+00:00,1641211252100956162,"@DavidSacks Very cool! 

I liked the article itself, and also the inclusion of the gpt chat. Also learned about sharegpt, which solves a major pain point in discussing the copy paste unfriendly output.

How did you fact check the gpt output? It'll make up data and create fictional sources.",Resonator_Steve,1,0
2023-03-29 22:50:11+00:00,1641211175185596419,It's taken me 40+ years to conclude that job descriptions are pretty much the cause of all hiring mistakes. #hiring #interviewing #chatgpt #jobs #recruiting  #greenhouse #icims #smartrecruiters #glassdoor #ziprecruiter #indeed https://t.co/9ndVcNnJy2 https://t.co/R96iJfor69 https://t.co/9izIsxxDMY,LouA,1,0
2023-03-29 22:49:58+00:00,1641211124296335360,"To be fair, real human lawyers draft illegal stuff all the time.  It's just that Chat GPT is more efficient at doing so. https://t.co/7LeJ26VBC6",AttorneyAtEase,0,1
2023-03-29 22:49:56+00:00,1641211113114152961,"totally fascinating, no unexpected
there is a massive new untapped market, while there are authentic voices of warning here, there is clearly desire to control this thing

#ai #chatgpt #chatgpt4 #machinelearning",chrisdavisLens,0,0
2023-03-29 22:49:41+00:00,1641211051076362240,"Lots of teachers worrying about Chat GPT making essay writing too easy to cheat-- guys, just assign super offensive topics",giordano_lives,1,0
2023-03-29 22:49:27+00:00,1641210993773608960,"Just finished having #ChatGPT  write a roughly 3000 word chapter 1 of a murder mystery, followed by reading its work. Some observations 1/?",HoosierHardware,0,0
2023-03-29 22:48:59+00:00,1641210876681244672,"I had ChatGPT write the worst Tinder pickup lines:

""I've memorized your profile details, and I must say, I can't wait to learn the scent of your shampoo too. Care to share?""
#ChatGPT #GPT4 #openai https://t.co/f3BBiPHlVf",TheSatireShow,2,0
2023-03-29 22:48:52+00:00,1641210847581155329,@fada_azeda chat gpt,chemistrul,0,0
2023-03-29 22:48:37+00:00,1641210784171675649,"@scottfgray You're not wrong, but for what it's worth, AI is advancing *really* fast right now. There's a good chance that GPT-5 will be advanced enough to be interesting on its own. (Of course, people are *currently* doing interesting things with *applications* of ChatGPT.)",groudon466,0,0
2023-03-29 22:48:28+00:00,1641210743369396225,@nertilqatja @michael_dehart @greg16676935420 @FightHaven Bro used chat gpt for maths 💀💀 anyway bro check this out 5 + 1 × 10 = 15,Wil_Le_Debile,0,0
2023-03-29 22:48:16+00:00,1641210694614892544,Just experimented to see if #ChatGPT could help write my https://t.co/75GWLl1cmu website. Asked it for useful VoiceOver gestures and it made several errors. My job is safe - for now😨 https://t.co/LwZoTG7L03,BrianNegus,0,0
2023-03-29 22:48:14+00:00,1641210684854657024,"If you’ve been using chat gpt efficiently for the last couple of months, what does it feel like to know you’re a top tier human and that you’re gonna be richer this year?",riizzlerr,0,0
2023-03-29 22:47:50+00:00,1641210585147932675,"GM!☕️☀️ 
Just aped 3 eth in #GPT4 and it is pumping!! 📈📈📈
Have you #HODL #GPT4 before its #ATH ? 🚀🚀🚀 Buy the token at Uniswap before it pumps TOOO high!!!

🦄
https://t.co/UyR7UHr8qj

$GPT $PAW #ChatGPT https://t.co/5xJIkzxuMp",ramazanismail1,1,0
2023-03-29 22:47:10+00:00,1641210416025210880,"#chatgpt describing cyberpunk in the matrix as a ""Dystopian Future: The Matrix takes place in a future where humanity has been enslaved by machines, and the world has become a dark and oppressive place"". #bcm325",byronsmith2000,0,0
2023-03-29 22:46:59+00:00,1641210371037097984,"I asked Chat GPT about defensive football. 

This brother sounds just like me and the rest of FT 😭

We're all gonna be so bloody replaceable soon https://t.co/ILkAJSwK9N",janufooty,8,0
2023-03-29 22:46:37+00:00,1641210280209252352,"@enamara I've tried them both. I think it is definitely 1-0 to #ChatGPT. I found #Bard to be rather ""robotic"", with it's responses appearing more ""rushed"". But it's early days, I'm sure @Google chaps will catch up. That said, I love how @Microsoft is waking up, at last!",DennisAguma,0,0
2023-03-29 22:46:34+00:00,1641210266317905921,"Its unique blend of action, philosophy, and innovative visual effects make it a classic of the genre. #BCM325 #ChatGPT 5/5

https://t.co/vryhNic9Dj #BCM325",ashleighgrente2,1,0
2023-03-29 22:46:33+00:00,1641210264011046913,"#TheMatrix also introduced ""bullet time,"" a visual effect where the camera appears to slow down while the action on screen continues at normal speed. This effect was achieved using innovative camera techniques and became a signature of the film. #BCM325 #ChatGPT 4/5",ashleighgrente2,0,0
2023-03-29 22:46:33+00:00,1641210261699981312,"Another novum presented is the idea of a chosen one, or a messiah, who is prophesied to overthrow the machines and save humanity. This archetype has been used throughout history, but the Matrix gave it a unique spin by placing it in a dystopian future. #BCM325 #ChatGPT 3/5",ashleighgrente2,1,0
2023-03-29 22:46:32+00:00,1641210259388895233,This simulated reality is controlled by sentient machines that use humans as a power source. This idea of machines using humans as a power source was a new concept in sci-fi and opened up a whole new realm of possibilities for future storytelling. #BCM325 #ChatGPT 2/5,ashleighgrente2,0,0
2023-03-29 22:46:32+00:00,1641210256943632384,"The Matrix introduced several novums (new ideas or concepts) that were groundbreaking at the time. One of the most prominent is the concept of a simulated reality, where humans are plugged into a computer program that mimics the real world. #BCM325 #ChatGPT 1/5",ashleighgrente2,0,0
2023-03-29 22:46:28+00:00,1641210240757641217,Looks like #chatgpt was coded by lesbians 🤷‍♂️ #woke #LGBTQ https://t.co/UPEHIleGZw,SpicyShirtsUSA,1,0
2023-03-29 22:46:27+00:00,1641210237129555972,"@ronaldmannak @brian_danos ""In memory of #Google (1998-2023) 🕊️ A tech giant that transformed our lives, connected us globally 🌍, and revolutionized the way we infoseek.  Your legacy will forever shape the digital world. #RIPGoogle"" (Chat GPT 4).",surelythis,0,0
2023-03-29 22:46:18+00:00,1641210199020109826,"Enjoyed this interview... #ChatGPT #ArtificialIntelligence #AGI 

https://t.co/POIu4lR4hX",julian_west,0,0
2023-03-29 22:46:07+00:00,1641210153986043905,"@LeagueOfLegends @riotgames @LoLDev 
#ChatGPT 

This can be fun. https://t.co/wLnFzHjJfT",X_tulkus_X,0,0
2023-03-29 22:45:58+00:00,1641210116308447236,@F1_Jordan According to Chat GPT you are in fact whiny .. deal with it! Here is the proof https://t.co/7vHgToXTxU,fodiographer,1,0
2023-03-29 22:45:57+00:00,1641210112214990849,only as smart as the people that wrote it #ChatGPT https://t.co/Qj5Z39tp6q,lmntJames,1,0
2023-03-29 22:45:31+00:00,1641210004018528257,"The future of #hiring: 

#ChatGPT or similar AI programs that connects w/ other platforms like @Greenhouse after traditional #ATS systems do its thing.

""Show me 10 most relevant applications w/ this specific key word + at least 5 years of experience"".

CC: @Bez_Rengifo @tdesseyn",BrianHurst01,1,0
2023-03-29 22:45:19+00:00,1641209954228121600,News: Researchers from @USCMingHsiehEE have developed a new type of #chip that is believed to provide the greatest precision in memory to date. May have implications for #ai #NeuralNetworks #ChatGPT #semiconductors #chips https://t.co/rxnVfrT5FR,USCViterbi,1,0
2023-03-29 22:44:52+00:00,1641209838674886657,"Ok... but... meanwhile in China?
@elonmusk #AI #ChatGPT",GioveMarchesi,1,0
2023-03-29 22:44:32+00:00,1641209753291354119,I don't know who needs to hear it but Chat GPT is quite awful writing in languages other than English.,khaxan,1,0
2023-03-29 22:44:30+00:00,1641209746865680385,"@jjshah01 Put it in chat GPT, then run it through 2-3 different summarizing apps",CGreer_01,0,0
2023-03-29 22:44:14+00:00,1641209678502809600,"How To Use ChatGPT For Amazon Affiliate Marketing In 2023 (Step By Step) by ProLearn.
.
.
.
To watch: https://t.co/osSX9l9p4x
.
.
#Amazon #amazonaffiliate #amazonaffiliatemarketing #chatgpt #emailmarketing #makemoneyonline #ProLearn #ProLearnbyha https://t.co/tZ9wsuJHjP",ProLearnbyha,0,0
2023-03-29 22:44:00+00:00,1641209621753757701,7 #ChatGPT Browser Extensions for #SEO https://t.co/oHlr7hOxmW,smcla,0,0
2023-03-29 22:43:54+00:00,1641209593966501889,@EwanFlyers @IAnnoyMorons @FlippyFlopBaby1 @Swank4America @BillyBaldwin @GGunscom @GhostGunNews That’s on me not properly vetting the incidents and simply using chat gpt to get the info without context.,ghost_locke,1,0
2023-03-29 22:43:37+00:00,1641209526413131782,Chat GPT: the secret weapon for better conversations - find out how! https://t.co/RY1NOdYC93,monopolyace,0,0
2023-03-29 22:43:28+00:00,1641209488429445120,"6 Months to develop safety protocols with policy makers? What a joke! Policy makers will take 100 years to catch up, argue, and weaponize this tech to their own interests and interests of the powerful.

#chatgpt4 #chatgpt #ai",iamhilarry3090,1,0
2023-03-29 22:43:23+00:00,1641209465851584514,Chat GPT will change Medicine https://t.co/TYM35c6bSw,sadie59722965,0,0
2023-03-29 22:43:11+00:00,1641209417008922625,"Friends, I saw some posts about chat gpt, but I want to know more about this application and what is benefited from this application.",f_bislimi,0,0
2023-03-29 22:43:04+00:00,1641209387623522307,I just published #Medium Look At What I Found On #BingAI And #ChatGPT https://t.co/Y5l215TWS7 @carlarjenkins #100daysofcloud #100daysofmlcode #ArtificialIntelligence #MachineLearning #searchengine #searchengineoptimization #MediumWriters,carlarjenkins,0,0
2023-03-29 22:42:23+00:00,1641209214839259136,"This is so fucken dumb IMHO. What are you people trying to delay? Why 6 months 🤣
That's the dumbest thing I have ever heard this year.

#openai #ChatGPT #ai",iamhilarry3090,2,0
2023-03-29 22:42:05+00:00,1641209139320823810,Brat tamers vs chat GPT code of conduct guidelines,DOMMUNlSM,0,0
2023-03-29 22:42:01+00:00,1641209120458981383,@ZeusCuler @StoolFootball Chat GPT says this guy ⬆️ hasn't a clue.,mhoop01,0,0
2023-03-29 22:41:36+00:00,1641209015333183489,I asked #ChatGPT if elements of Cyberpunk were realistic of the present #bcm325,byronsmith2000,0,0
2023-03-29 22:41:27+00:00,1641208979685769218,"It looks like #snapchat 's GPT driven #chatbot, My AI is now available to all users. This puts generative #AI into an app that is targeted at &amp; has high engagement with young people. #aieducation #aussieED #nzedu  #OpenAI #ChatGPT 
@Lilylauren
@tombarrett 
@lfurze
@Interfacemag",flattero,1,0
2023-03-29 22:41:07+00:00,1641208895103197185,"7/: Tools of the trade include...

@thirdweb for having mega simple contract deployment/management @thirdweb / https://t.co/Hcwu1MvXrk 🙌. 

@huggingface for image generation
@vercel for site deployment
@pinatacloud for IPFS/pinning
And of course, @OpenAI / #chatGPT (3.5 &amp; 4)",RatBenetar_eth,0,0
2023-03-29 22:41:02+00:00,1641208876417667078,@dewebnamoro @lukzmodric gf do chat gpt,bernatfpn,0,0
2023-03-29 22:40:58+00:00,1641208855651835905,@mrgreen China and other nations will continue to evolve there own Chat GPT AI equivalents until u get global consensus this train has left the station. Sorry to say to late.,JasonHa28246200,0,0
2023-03-29 22:40:46+00:00,1641208808708927507,"Playing around with Chat GPT today and daggum, this thing is wild. Like, I'm both awestruck and terrified",joshthebearman,0,0
2023-03-29 22:40:37+00:00,1641208769035091969,"this is why I love Chat GPT so much. this question would take hours to explain to a human, and Chat GPT just instantly understands the question and answers perfectly 🤖 https://t.co/UyTjbVuLLQ",CometPandaSky,0,0
2023-03-29 22:40:36+00:00,1641208764161306627,not me demanding chat gpt to write corny fanfics for me 💀🤭,kireiguku,0,0
2023-03-29 22:40:00+00:00,1641208612780666882,"#ChatGPT state-of-the-art transformer architecture uses over 6 billion parameters, so more accurate &amp; contextually relevant natural language processing. Exciting times in the world of natural language processing",endt,0,0
2023-03-29 22:39:10+00:00,1641208405263261697,#JIDU is integrating @Baidu_Inc s #ChatGPT-like technology into the car's operating system to enhance user interactivity. This would be a game changer https://t.co/Z9J4wf7Y7a,readgptea,0,0
2023-03-29 22:39:09+00:00,1641208398896148481,"I am really curious to see how Stack Overflow usage data looks like in recent times ...

#ChatGPT #developers #AI #stackoverflow #coders #coding https://t.co/3VbxIO9iAJ",ElhemRebhi,0,0
2023-03-29 22:38:47+00:00,1641208308576006150,"Can #ChatGPT really help create the new “Super-teacher” and what’s its kryptonite? This powerful discussion answered both questions and then some. 
@sgthomas1973 https://t.co/OTgXzgHQts #TEACHers #edtech https://t.co/dUVea81LRD",Jonharper70bd,2,2
2023-03-29 22:38:27+00:00,1641208224274608129,"@benjamincrozat @yongfook @SmousssHQ Chat GPT already delivers a considerable amount of expected benefits.

We tend to condense information, rather than going through long passages, to get straight to the main idea.

And is just one of many ways...",javierdaniel,0,0
2023-03-29 22:38:25+00:00,1641208213877018624,@jdflynn @dr_t_teacher Is this ALSO Chat GPT?!  Because this is surely not true!,KatyDornbos,0,0
2023-03-29 22:38:18+00:00,1641208186861436933,"@elonmusk @EvaFoxU Dangerous if Wolfram Alpha + Open AI Chat GPT publish a Science encyclopedia?

They will entrust the regulation of the AI ​​to the Sadists who think there are too many people on the planet.

How long did Bill Gates' seven engineers take to create #Bitcoin?
https://t.co/5NbAIu7pH1",AreYouWell_8,0,0
